nutzer_id,alter,geschlecht,region,politische_haltung,gewaehlte_partei,wahlfrequenz,wichtigstes_wahlthema,vertrauensmedien,politisches_engagement,parteimitglied,jahr_letzte_wahl,uebereinstimmung_regierung,interessen
439,56,divers,Hessen,liberal,FDP,nie,Steuern,Telegram,2,True,,0.75,"Essen, Wirtschaft, Politik"
440,63,weiblich,Hessen,konservativ,AfD,immer,Steuern,TikTok,2,False,2017.0,0.09,"Musik, Politik, Klima"
441,47,weiblich,Berlin,konservativ,Die Linke,immer,Migration,Tagesschau,6,True,2024.0,0.83,"Bildung, Essen, Musik"
442,20,divers,Hamburg,zentristisch,SPD,immer,Sicherheit,Spiegel,0,True,,0.93,"Bildung, Technologie, Wirtschaft"
443,64,divers,NRW,konservativ,FDP,immer,Steuern,Tagesschau,8,False,2017.0,1.0,"Essen, Reisen, Musik"
444,34,männlich,Hamburg,konservativ,Die Linke,gelegentlich,Steuern,Spiegel,5,False,,0.56,"Wirtschaft, Essen, Politik"
445,56,männlich,Hamburg,progressiv,CDU,gelegentlich,Gesundheit,Telegram,0,True,2024.0,0.05,"Reisen, Sport, Musik"
446,30,männlich,Berlin,zentristisch,SPD,immer,Bildung,Spiegel,2,False,2017.0,0.94,"Wirtschaft, Musik, Essen"
447,54,weiblich,NRW,progressiv,Grüne,immer,Gesundheit,Facebook-Gruppen,9,True,,0.51,"Sport, Wirtschaft, Technologie"
448,35,weiblich,Sachsen,konservativ,AfD,gelegentlich,Steuern,YouTube,6,False,2021.0,0.72,"Klima, Politik, Wirtschaft"
449,65,männlich,NRW,zentristisch,AfD,nie,Bildung,FAZ,6,True,2021.0,0.29,"Reisen, Sport, Politik"
450,52,weiblich,NRW,liberal,CDU,immer,Bildung,TikTok,4,False,2017.0,0.71,"Musik, Wirtschaft, Sport"
451,54,divers,Sachsen,progressiv,Grüne,immer,Klima,Spiegel,0,True,2024.0,0.36,"Politik, Reisen, Sport"
452,68,männlich,Hamburg,progressiv,FDP,immer,Steuern,Facebook-Gruppen,9,True,2024.0,0.57,"Sport, Essen, Musik"
453,45,weiblich,Hamburg,konservativ,AfD,immer,Sicherheit,YouTube,9,False,2017.0,0.35,"Politik, Bildung, Wirtschaft"
454,40,männlich,NRW,liberal,Die Linke,immer,Sicherheit,YouTube,5,False,2017.0,0.86,"Reisen, Technologie, Wirtschaft"
455,62,männlich,NRW,liberal,AfD,gelegentlich,Bildung,FAZ,7,True,,0.16,"Technologie, Reisen, Musik"
456,26,männlich,Bayern,liberal,SPD,gelegentlich,Migration,Facebook-Gruppen,8,True,2024.0,0.01,"Reisen, Musik, Essen"
457,65,weiblich,Hessen,liberal,FDP,gelegentlich,Migration,Spiegel,4,True,,0.91,"Bildung, Technologie, Musik"
458,52,weiblich,Sachsen,zentristisch,Die Linke,immer,Migration,TikTok,5,False,2017.0,0.57,"Technologie, Wirtschaft, Sport"
459,60,weiblich,Hamburg,zentristisch,AfD,immer,Gesundheit,Facebook-Gruppen,7,True,2021.0,0.62,"Klima, Musik, Reisen"
460,35,divers,Sachsen,liberal,FDP,immer,Steuern,Telegram,9,True,2021.0,0.33,"Wirtschaft, Essen, Bildung"
461,33,divers,Sachsen,konservativ,Grüne,gelegentlich,Bildung,FAZ,10,False,2017.0,0.56,"Klima, Essen, Sport"
462,48,divers,Berlin,liberal,Grüne,immer,Migration,Tagesschau,6,False,2017.0,0.04,"Essen, Sport, Reisen"
463,18,männlich,Bayern,progressiv,Grüne,nie,Bildung,Telegram,7,True,,0.17,"Bildung, Technologie, Reisen"
464,46,divers,Hamburg,konservativ,Die Linke,nie,Bildung,YouTube,0,False,2017.0,0.69,"Klima, Musik, Politik"
465,68,männlich,NRW,konservativ,Grüne,immer,Gesundheit,Facebook-Gruppen,6,False,2024.0,0.77,"Wirtschaft, Musik, Klima"
466,22,divers,Sachsen,progressiv,SPD,nie,Gesundheit,FAZ,3,True,2021.0,0.34,"Reisen, Bildung, Klima"
467,21,weiblich,NRW,liberal,AfD,gelegentlich,Bildung,FAZ,3,True,,0.95,"Technologie, Reisen, Bildung"
468,75,divers,Hamburg,konservativ,FDP,immer,Klima,YouTube,4,False,2021.0,0.13,"Wirtschaft, Politik, Reisen"
469,49,weiblich,Berlin,progressiv,AfD,immer,Gesundheit,Telegram,2,False,2017.0,0.18,"Politik, Klima, Musik"
470,23,weiblich,Berlin,liberal,Grüne,gelegentlich,Klima,YouTube,4,False,2024.0,0.15,"Sport, Reisen, Wirtschaft"
471,64,männlich,Bayern,konservativ,AfD,immer,Steuern,FAZ,4,False,2017.0,0.02,"Wirtschaft, Technologie, Sport"
472,61,männlich,Berlin,konservativ,Grüne,gelegentlich,Migration,Tagesschau,6,False,,0.11,"Technologie, Musik, Klima"
473,75,divers,Berlin,konservativ,AfD,immer,Bildung,Tagesschau,4,False,2021.0,0.6,"Klima, Wirtschaft, Essen"
474,43,männlich,Hessen,progressiv,Grüne,immer,Migration,TikTok,1,True,2021.0,0.98,"Klima, Reisen, Musik"
475,18,divers,NRW,progressiv,Grüne,immer,Migration,Telegram,8,False,,0.73,"Bildung, Essen, Reisen"
476,62,weiblich,Sachsen,liberal,FDP,gelegentlich,Migration,Tagesschau,8,False,2024.0,0.72,"Bildung, Politik, Sport"
477,40,weiblich,Sachsen,progressiv,FDP,gelegentlich,Klima,Tagesschau,0,True,2024.0,0.57,"Klima, Reisen, Bildung"
478,32,weiblich,Hamburg,liberal,AfD,immer,Klima,YouTube,7,True,2024.0,0.56,"Musik, Politik, Technologie"
479,37,weiblich,Hamburg,liberal,SPD,gelegentlich,Klima,FAZ,8,True,2017.0,0.81,"Klima, Musik, Technologie"
480,28,männlich,Hamburg,liberal,CDU,nie,Klima,FAZ,3,False,,0.13,"Musik, Bildung, Wirtschaft"
481,73,divers,Hessen,liberal,Grüne,gelegentlich,Steuern,Spiegel,5,False,,0.2,"Essen, Wirtschaft, Sport"
482,29,weiblich,Hamburg,zentristisch,FDP,gelegentlich,Bildung,TikTok,3,True,2021.0,0.58,"Politik, Sport, Musik"
483,40,divers,Sachsen,progressiv,FDP,immer,Gesundheit,TikTok,2,True,2021.0,0.38,"Reisen, Essen, Politik"
484,24,weiblich,Berlin,progressiv,Grüne,immer,Sicherheit,FAZ,6,False,2024.0,0.86,"Klima, Bildung, Technologie"
485,62,divers,Sachsen,zentristisch,FDP,immer,Sicherheit,Spiegel,10,False,,0.37,"Bildung, Technologie, Wirtschaft"
486,41,männlich,Hamburg,progressiv,AfD,gelegentlich,Gesundheit,Telegram,5,True,,0.92,"Klima, Technologie, Sport"
487,65,männlich,Hessen,zentristisch,SPD,immer,Gesundheit,Spiegel,2,True,,0.65,"Reisen, Wirtschaft, Bildung"
488,39,weiblich,Bayern,konservativ,Die Linke,immer,Klima,FAZ,5,False,2024.0,0.08,"Essen, Klima, Musik"
489,23,weiblich,NRW,progressiv,SPD,gelegentlich,Sicherheit,FAZ,10,False,2021.0,0.06,"Sport, Reisen, Politik"
490,42,männlich,Bayern,zentristisch,Die Linke,immer,Steuern,FAZ,10,False,2021.0,0.99,"Musik, Sport, Wirtschaft"
491,18,männlich,Hamburg,konservativ,CDU,nie,Steuern,Spiegel,10,True,2021.0,0.88,"Essen, Wirtschaft, Reisen"
492,42,divers,Berlin,progressiv,CDU,immer,Sicherheit,Tagesschau,9,False,2017.0,0.51,"Bildung, Essen, Politik"
493,42,weiblich,Berlin,liberal,CDU,immer,Sicherheit,YouTube,3,False,,0.41,"Politik, Musik, Sport"
494,44,weiblich,NRW,konservativ,Die Linke,gelegentlich,Steuern,FAZ,0,True,,0.54,"Klima, Bildung, Sport"
495,75,weiblich,NRW,konservativ,CDU,gelegentlich,Klima,FAZ,9,True,2017.0,0.1,"Wirtschaft, Klima, Essen"
496,63,männlich,NRW,progressiv,SPD,gelegentlich,Migration,FAZ,8,True,2024.0,0.9,"Reisen, Technologie, Bildung"
497,23,divers,Hamburg,konservativ,SPD,immer,Migration,TikTok,7,False,2021.0,0.11,"Musik, Politik, Sport"
498,73,divers,Sachsen,konservativ,SPD,immer,Gesundheit,Spiegel,3,True,2017.0,0.03,"Musik, Klima, Essen"
499,27,weiblich,NRW,zentristisch,AfD,gelegentlich,Migration,Tagesschau,1,True,2017.0,0.9,"Politik, Musik, Reisen"
500,20,weiblich,NRW,zentristisch,AfD,nie,Sicherheit,YouTube,9,True,,0.72,"Sport, Essen, Technologie"
501,48,männlich,Hessen,progressiv,Grüne,immer,Steuern,TikTok,9,False,2021.0,0.49,"Wirtschaft, Reisen, Essen"
502,26,divers,Berlin,liberal,CDU,nie,Migration,Tagesschau,3,False,2017.0,0.63,"Sport, Politik, Bildung"
503,55,männlich,Hamburg,konservativ,AfD,immer,Sicherheit,FAZ,6,True,,0.3,"Reisen, Wirtschaft, Technologie"
504,58,divers,Sachsen,zentristisch,CDU,nie,Klima,YouTube,6,False,,0.57,"Klima, Reisen, Bildung"
505,32,weiblich,Hessen,progressiv,Grüne,nie,Steuern,TikTok,6,True,,0.48,"Musik, Technologie, Bildung"
506,59,divers,Berlin,zentristisch,SPD,immer,Bildung,FAZ,3,True,2024.0,0.59,"Reisen, Musik, Politik"
507,66,divers,Sachsen,zentristisch,AfD,immer,Migration,FAZ,1,False,,0.94,"Reisen, Essen, Sport"
508,71,divers,Bayern,zentristisch,Grüne,nie,Gesundheit,YouTube,10,True,,0.97,"Technologie, Klima, Bildung"
509,62,männlich,Berlin,progressiv,Die Linke,gelegentlich,Sicherheit,FAZ,5,False,2017.0,0.3,"Politik, Bildung, Essen"
510,22,männlich,Berlin,progressiv,SPD,gelegentlich,Bildung,YouTube,0,False,,0.09,"Bildung, Reisen, Klima"
511,31,männlich,Hamburg,progressiv,Die Linke,immer,Bildung,Facebook-Gruppen,3,True,2024.0,0.33,"Politik, Bildung, Sport"
512,26,männlich,Hessen,liberal,AfD,immer,Klima,Telegram,9,True,,0.19,"Bildung, Reisen, Sport"
513,57,weiblich,Bayern,zentristisch,CDU,gelegentlich,Steuern,Telegram,1,True,2021.0,0.55,"Reisen, Klima, Technologie"
514,42,weiblich,Sachsen,progressiv,CDU,immer,Migration,Telegram,10,False,2021.0,0.71,"Bildung, Reisen, Wirtschaft"
515,39,männlich,Berlin,liberal,Die Linke,gelegentlich,Bildung,YouTube,9,True,2017.0,0.08,"Politik, Essen, Musik"
516,73,weiblich,Bayern,konservativ,Grüne,immer,Sicherheit,YouTube,0,False,,0.08,"Technologie, Musik, Wirtschaft"
517,23,weiblich,Hamburg,liberal,SPD,nie,Gesundheit,TikTok,3,True,,0.22,"Reisen, Politik, Bildung"
518,20,weiblich,Bayern,progressiv,CDU,gelegentlich,Steuern,Facebook-Gruppen,10,False,,0.46,"Bildung, Essen, Reisen"
519,74,männlich,Bayern,konservativ,Die Linke,gelegentlich,Klima,Telegram,0,False,2017.0,0.9,"Politik, Musik, Sport"
520,53,weiblich,Hessen,progressiv,FDP,nie,Klima,YouTube,5,False,,0.96,"Musik, Bildung, Technologie"
521,54,weiblich,Bayern,liberal,SPD,immer,Bildung,Spiegel,2,True,2024.0,0.99,"Reisen, Sport, Technologie"
522,38,männlich,Bayern,progressiv,FDP,gelegentlich,Klima,Spiegel,3,False,2017.0,0.68,"Musik, Bildung, Klima"
523,68,weiblich,Sachsen,liberal,Grüne,gelegentlich,Migration,Spiegel,1,True,2024.0,0.67,"Sport, Musik, Essen"
524,40,weiblich,Berlin,progressiv,CDU,immer,Sicherheit,YouTube,8,True,2021.0,0.77,"Technologie, Sport, Klima"
525,58,weiblich,Hessen,progressiv,Grüne,immer,Migration,Facebook-Gruppen,5,False,2017.0,0.95,"Technologie, Sport, Bildung"
526,61,divers,Berlin,zentristisch,FDP,gelegentlich,Steuern,FAZ,7,False,,0.35,"Technologie, Klima, Sport"
527,31,weiblich,Sachsen,konservativ,SPD,immer,Gesundheit,Spiegel,7,False,2017.0,0.67,"Klima, Musik, Wirtschaft"
528,69,männlich,Berlin,zentristisch,SPD,gelegentlich,Steuern,Telegram,8,False,2017.0,0.59,"Musik, Reisen, Sport"
529,41,männlich,Berlin,zentristisch,Grüne,gelegentlich,Gesundheit,YouTube,3,True,,0.95,"Reisen, Sport, Klima"
530,65,weiblich,Hessen,zentristisch,Die Linke,gelegentlich,Steuern,TikTok,6,False,,0.44,"Musik, Essen, Bildung"
531,52,männlich,NRW,zentristisch,AfD,immer,Migration,FAZ,7,False,2017.0,0.24,"Technologie, Politik, Reisen"
532,49,weiblich,Berlin,konservativ,Grüne,immer,Sicherheit,Spiegel,9,True,2024.0,0.97,"Musik, Reisen, Politik"
533,59,weiblich,Bayern,progressiv,AfD,immer,Bildung,TikTok,6,False,2024.0,0.11,"Klima, Wirtschaft, Sport"
534,46,divers,Hamburg,konservativ,CDU,immer,Migration,Spiegel,1,True,,0.25,"Reisen, Essen, Musik"
535,56,divers,NRW,liberal,AfD,gelegentlich,Sicherheit,Tagesschau,6,False,,0.44,"Bildung, Essen, Politik"
536,70,männlich,NRW,konservativ,Die Linke,nie,Klima,Tagesschau,10,True,2024.0,0.68,"Wirtschaft, Reisen, Sport"
537,37,männlich,Hamburg,liberal,AfD,immer,Gesundheit,Spiegel,4,True,2017.0,0.8,"Wirtschaft, Reisen, Sport"
538,33,weiblich,Hamburg,konservativ,Grüne,immer,Migration,YouTube,2,False,2017.0,0.28,"Klima, Technologie, Essen"
539,22,männlich,Sachsen,konservativ,Grüne,immer,Bildung,Facebook-Gruppen,10,False,2024.0,0.51,"Klima, Sport, Reisen"
540,25,divers,NRW,progressiv,SPD,immer,Steuern,Tagesschau,2,True,2024.0,0.13,"Sport, Technologie, Essen"
541,47,weiblich,Hamburg,liberal,Grüne,gelegentlich,Migration,Tagesschau,3,False,,0.01,"Musik, Essen, Klima"
542,28,männlich,Bayern,progressiv,Die Linke,gelegentlich,Klima,FAZ,2,False,,0.22,"Klima, Musik, Reisen"
543,38,männlich,Berlin,liberal,FDP,immer,Steuern,Telegram,8,True,2017.0,0.47,"Klima, Wirtschaft, Bildung"
544,36,weiblich,Berlin,liberal,AfD,immer,Steuern,Facebook-Gruppen,3,False,2024.0,0.02,"Reisen, Politik, Essen"
545,28,männlich,NRW,liberal,Die Linke,immer,Klima,TikTok,9,True,2021.0,0.14,"Sport, Bildung, Reisen"
546,31,männlich,Hamburg,konservativ,AfD,immer,Klima,Spiegel,6,False,2021.0,0.99,"Reisen, Sport, Bildung"
547,62,divers,Sachsen,zentristisch,Die Linke,immer,Bildung,Spiegel,0,False,2017.0,0.8,"Wirtschaft, Musik, Politik"
548,68,männlich,Hessen,konservativ,Die Linke,immer,Steuern,Facebook-Gruppen,7,True,,0.14,"Wirtschaft, Technologie, Musik"
549,42,divers,Berlin,zentristisch,Die Linke,gelegentlich,Klima,Tagesschau,7,False,,0.78,"Musik, Wirtschaft, Technologie"
550,18,weiblich,NRW,zentristisch,Grüne,immer,Klima,YouTube,1,False,2017.0,0.41,"Klima, Technologie, Essen"
551,31,weiblich,Berlin,zentristisch,Die Linke,immer,Migration,Telegram,3,True,2024.0,0.74,"Klima, Sport, Bildung"
552,65,weiblich,Hessen,konservativ,SPD,immer,Bildung,Tagesschau,2,True,2024.0,0.07,"Reisen, Essen, Musik"
553,50,divers,NRW,konservativ,AfD,immer,Migration,YouTube,9,False,2024.0,0.73,"Musik, Essen, Reisen"
554,72,weiblich,Hessen,konservativ,FDP,nie,Gesundheit,Facebook-Gruppen,9,False,2017.0,0.33,"Essen, Bildung, Klima"
555,27,weiblich,Bayern,liberal,SPD,immer,Gesundheit,Spiegel,7,True,2024.0,0.97,"Wirtschaft, Politik, Musik"
556,19,männlich,Sachsen,progressiv,Grüne,immer,Bildung,TikTok,8,False,2021.0,0.04,"Sport, Reisen, Technologie"
557,58,männlich,Hamburg,zentristisch,AfD,gelegentlich,Gesundheit,TikTok,7,False,,0.81,"Reisen, Wirtschaft, Sport"
558,63,männlich,Bayern,liberal,SPD,gelegentlich,Sicherheit,Tagesschau,0,False,2021.0,0.02,"Bildung, Essen, Politik"
559,59,männlich,NRW,progressiv,CDU,nie,Klima,FAZ,4,False,2017.0,0.71,"Musik, Technologie, Reisen"
560,22,weiblich,Sachsen,progressiv,AfD,gelegentlich,Gesundheit,Tagesschau,0,True,,0.89,"Klima, Reisen, Bildung"
561,61,weiblich,Hessen,liberal,CDU,immer,Bildung,Facebook-Gruppen,7,True,2021.0,0.61,"Klima, Sport, Technologie"
562,54,divers,Hamburg,liberal,FDP,immer,Bildung,Spiegel,1,True,,0.92,"Sport, Politik, Klima"
563,46,divers,Hamburg,liberal,Die Linke,immer,Migration,Spiegel,6,True,2024.0,0.94,"Technologie, Essen, Wirtschaft"
564,66,weiblich,Berlin,zentristisch,Die Linke,gelegentlich,Migration,Facebook-Gruppen,2,False,2024.0,0.33,"Politik, Klima, Technologie"
565,45,divers,Bayern,konservativ,Grüne,immer,Klima,TikTok,8,True,2017.0,0.88,"Musik, Bildung, Technologie"
566,55,divers,NRW,liberal,Die Linke,immer,Steuern,TikTok,9,False,,0.16,"Bildung, Essen, Sport"
567,73,männlich,Hamburg,progressiv,FDP,immer,Gesundheit,TikTok,10,False,2024.0,0.64,"Klima, Reisen, Essen"
568,56,divers,Berlin,zentristisch,Die Linke,immer,Sicherheit,Spiegel,0,False,2024.0,0.27,"Sport, Reisen, Essen"
569,32,weiblich,Bayern,zentristisch,SPD,gelegentlich,Klima,Telegram,0,False,2024.0,0.33,"Klima, Essen, Wirtschaft"
570,27,männlich,Sachsen,konservativ,Grüne,nie,Bildung,YouTube,8,True,2021.0,0.5,"Reisen, Bildung, Essen"
571,20,divers,Hamburg,zentristisch,SPD,gelegentlich,Sicherheit,FAZ,0,True,2017.0,0.06,"Sport, Essen, Klima"
572,30,weiblich,NRW,progressiv,Grüne,nie,Steuern,Spiegel,3,False,2017.0,0.13,"Bildung, Essen, Klima"
573,46,weiblich,Hessen,progressiv,SPD,immer,Bildung,FAZ,9,True,2021.0,0.06,"Reisen, Bildung, Musik"
574,30,männlich,Sachsen,zentristisch,CDU,gelegentlich,Sicherheit,Tagesschau,8,False,2021.0,0.14,"Bildung, Technologie, Wirtschaft"
575,66,weiblich,Berlin,zentristisch,FDP,gelegentlich,Sicherheit,Facebook-Gruppen,8,True,2021.0,0.66,"Politik, Klima, Technologie"
576,37,divers,Hessen,zentristisch,Grüne,gelegentlich,Steuern,TikTok,1,False,2021.0,0.38,"Klima, Wirtschaft, Essen"
577,52,männlich,NRW,progressiv,Grüne,gelegentlich,Klima,FAZ,4,False,2017.0,0.21,"Klima, Sport, Politik"
578,36,weiblich,Sachsen,progressiv,FDP,immer,Gesundheit,YouTube,3,False,2021.0,0.54,"Klima, Musik, Wirtschaft"
579,53,divers,Sachsen,zentristisch,CDU,immer,Steuern,Facebook-Gruppen,1,False,,0.17,"Klima, Bildung, Essen"
580,28,divers,Bayern,zentristisch,AfD,immer,Gesundheit,Facebook-Gruppen,2,False,2021.0,0.93,"Sport, Technologie, Klima"
581,75,divers,NRW,zentristisch,Grüne,nie,Klima,Telegram,3,False,2024.0,0.15,"Reisen, Wirtschaft, Politik"
582,38,divers,Berlin,liberal,SPD,immer,Steuern,Tagesschau,4,True,2024.0,0.09,"Essen, Wirtschaft, Reisen"
583,18,divers,Hamburg,progressiv,AfD,nie,Bildung,Facebook-Gruppen,6,True,,0.73,"Bildung, Wirtschaft, Klima"
584,61,weiblich,Sachsen,liberal,CDU,gelegentlich,Steuern,YouTube,10,True,2024.0,0.81,"Reisen, Politik, Technologie"
585,41,männlich,Sachsen,progressiv,SPD,immer,Klima,TikTok,7,True,2017.0,0.52,"Politik, Wirtschaft, Technologie"
586,32,weiblich,Bayern,konservativ,AfD,gelegentlich,Migration,YouTube,6,True,2024.0,0.08,"Musik, Klima, Essen"
587,25,weiblich,Bayern,liberal,AfD,immer,Sicherheit,Tagesschau,9,False,2017.0,0.51,"Essen, Politik, Sport"
588,64,weiblich,Berlin,progressiv,AfD,immer,Klima,TikTok,5,True,,0.49,"Sport, Politik, Bildung"
589,48,weiblich,Bayern,liberal,CDU,gelegentlich,Bildung,TikTok,10,True,2024.0,0.01,"Reisen, Musik, Klima"
590,30,divers,Bayern,zentristisch,Grüne,immer,Steuern,FAZ,4,True,2017.0,0.18,"Sport, Politik, Reisen"
591,55,männlich,NRW,konservativ,AfD,gelegentlich,Steuern,TikTok,3,False,2017.0,0.83,"Essen, Politik, Wirtschaft"
592,31,divers,NRW,liberal,Grüne,immer,Bildung,Telegram,10,True,2024.0,0.78,"Politik, Reisen, Technologie"
593,27,divers,Hamburg,zentristisch,Grüne,nie,Sicherheit,Facebook-Gruppen,8,True,2024.0,0.32,"Sport, Klima, Essen"
594,35,weiblich,Sachsen,liberal,FDP,gelegentlich,Klima,Tagesschau,8,True,2021.0,0.04,"Essen, Bildung, Reisen"
595,31,divers,Hessen,zentristisch,CDU,immer,Gesundheit,FAZ,9,True,2021.0,0.75,"Reisen, Sport, Klima"
596,27,divers,Hamburg,liberal,Grüne,immer,Bildung,Facebook-Gruppen,4,False,2017.0,0.52,"Politik, Reisen, Essen"
597,40,divers,Hamburg,liberal,Die Linke,nie,Migration,FAZ,8,True,2017.0,0.01,"Politik, Bildung, Essen"
598,68,männlich,NRW,zentristisch,CDU,gelegentlich,Steuern,Facebook-Gruppen,8,False,2017.0,0.99,"Sport, Wirtschaft, Essen"
599,45,männlich,Hamburg,liberal,FDP,immer,Steuern,Spiegel,9,True,2024.0,0.81,"Klima, Musik, Politik"
600,48,weiblich,Hessen,zentristisch,CDU,immer,Sicherheit,Tagesschau,2,True,2021.0,0.57,"Klima, Technologie, Essen"
601,21,divers,Berlin,konservativ,FDP,immer,Gesundheit,Telegram,1,False,2017.0,0.8,"Bildung, Essen, Musik"
602,40,männlich,NRW,konservativ,FDP,gelegentlich,Steuern,Telegram,0,False,2024.0,0.96,"Bildung, Politik, Sport"
603,58,weiblich,Hamburg,liberal,FDP,gelegentlich,Bildung,FAZ,3,False,,0.42,"Sport, Wirtschaft, Klima"
604,72,männlich,NRW,liberal,Grüne,immer,Steuern,TikTok,1,True,2017.0,0.81,"Essen, Politik, Wirtschaft"
605,22,divers,Hamburg,progressiv,Die Linke,gelegentlich,Klima,TikTok,1,False,2024.0,0.06,"Klima, Sport, Politik"
606,20,weiblich,Hamburg,liberal,SPD,immer,Gesundheit,TikTok,4,False,,0.45,"Musik, Essen, Reisen"
607,33,divers,Hamburg,progressiv,Die Linke,immer,Steuern,Facebook-Gruppen,6,True,2024.0,0.62,"Bildung, Sport, Musik"
608,41,weiblich,Sachsen,konservativ,Die Linke,gelegentlich,Klima,Telegram,3,True,,0.73,"Reisen, Musik, Bildung"
609,34,divers,Hamburg,progressiv,AfD,gelegentlich,Gesundheit,Telegram,5,True,2017.0,0.69,"Sport, Technologie, Klima"
610,74,divers,Sachsen,konservativ,SPD,immer,Klima,YouTube,1,True,,0.27,"Bildung, Wirtschaft, Technologie"
611,24,weiblich,Hamburg,liberal,CDU,gelegentlich,Bildung,FAZ,0,True,2021.0,0.74,"Reisen, Klima, Wirtschaft"
612,27,weiblich,Berlin,liberal,Grüne,immer,Sicherheit,FAZ,7,False,2021.0,0.23,"Politik, Klima, Reisen"
613,42,männlich,Berlin,konservativ,AfD,gelegentlich,Sicherheit,Spiegel,1,False,2021.0,0.61,"Musik, Reisen, Politik"
614,68,männlich,Bayern,liberal,SPD,gelegentlich,Sicherheit,Facebook-Gruppen,10,True,2021.0,0.46,"Technologie, Musik, Reisen"
615,52,weiblich,Bayern,zentristisch,FDP,gelegentlich,Steuern,YouTube,4,True,2024.0,0.55,"Musik, Sport, Essen"
616,50,männlich,NRW,progressiv,AfD,immer,Steuern,Telegram,10,False,,0.74,"Bildung, Reisen, Politik"
617,60,weiblich,Hessen,liberal,CDU,gelegentlich,Bildung,FAZ,2,False,2021.0,0.94,"Bildung, Klima, Essen"
618,41,weiblich,Hessen,liberal,Die Linke,nie,Migration,YouTube,7,True,,0.53,"Reisen, Bildung, Klima"
619,71,männlich,Berlin,progressiv,CDU,immer,Gesundheit,FAZ,10,False,,0.48,"Musik, Sport, Reisen"
620,19,männlich,Berlin,progressiv,CDU,immer,Klima,YouTube,9,False,2024.0,0.8,"Klima, Politik, Wirtschaft"
621,28,weiblich,NRW,konservativ,Die Linke,gelegentlich,Gesundheit,Telegram,10,False,,0.81,"Wirtschaft, Reisen, Bildung"
622,26,weiblich,Hessen,progressiv,Grüne,gelegentlich,Steuern,Facebook-Gruppen,1,False,2024.0,0.32,"Reisen, Sport, Bildung"
623,60,weiblich,NRW,zentristisch,SPD,immer,Sicherheit,Spiegel,1,False,2021.0,0.82,"Technologie, Klima, Sport"
624,75,divers,Hamburg,konservativ,AfD,gelegentlich,Gesundheit,TikTok,9,True,2024.0,0.99,"Musik, Technologie, Bildung"
625,38,weiblich,Bayern,zentristisch,Die Linke,gelegentlich,Gesundheit,TikTok,5,False,2017.0,0.16,"Bildung, Politik, Reisen"
626,72,weiblich,Hamburg,liberal,CDU,immer,Sicherheit,TikTok,2,True,2024.0,0.61,"Musik, Klima, Wirtschaft"
627,42,weiblich,Hamburg,zentristisch,SPD,immer,Bildung,Telegram,9,True,2017.0,0.27,"Bildung, Musik, Reisen"
628,27,divers,Hamburg,liberal,AfD,immer,Steuern,Telegram,10,True,2017.0,0.76,"Musik, Essen, Wirtschaft"
629,52,weiblich,NRW,progressiv,AfD,immer,Sicherheit,Telegram,3,False,2017.0,0.25,"Bildung, Technologie, Musik"
630,63,männlich,NRW,progressiv,Die Linke,immer,Klima,Telegram,5,True,2024.0,0.84,"Sport, Wirtschaft, Politik"
631,48,männlich,Hessen,progressiv,FDP,immer,Migration,YouTube,7,False,2024.0,0.28,"Politik, Essen, Sport"
632,34,männlich,Berlin,liberal,AfD,immer,Migration,TikTok,2,False,2017.0,0.3,"Sport, Reisen, Bildung"
633,30,männlich,Sachsen,liberal,Grüne,immer,Steuern,TikTok,8,True,2021.0,0.8,"Reisen, Bildung, Musik"
634,63,weiblich,NRW,liberal,SPD,immer,Steuern,FAZ,9,True,2017.0,0.52,"Klima, Politik, Reisen"
635,62,männlich,Hessen,liberal,AfD,immer,Bildung,TikTok,7,True,,0.36,"Sport, Essen, Wirtschaft"
636,69,männlich,Bayern,progressiv,SPD,gelegentlich,Migration,Tagesschau,7,True,2017.0,0.42,"Reisen, Technologie, Politik"
637,32,weiblich,Hamburg,liberal,AfD,nie,Gesundheit,Tagesschau,2,True,2017.0,0.74,"Klima, Musik, Wirtschaft"
638,28,männlich,Berlin,konservativ,Die Linke,gelegentlich,Steuern,FAZ,8,True,2021.0,0.9,"Politik, Klima, Musik"
639,67,weiblich,Berlin,progressiv,CDU,immer,Gesundheit,Spiegel,3,False,,0.28,"Essen, Wirtschaft, Musik"
640,26,weiblich,Sachsen,zentristisch,CDU,immer,Klima,FAZ,5,True,2024.0,0.69,"Wirtschaft, Musik, Reisen"
641,41,weiblich,NRW,progressiv,AfD,immer,Migration,Telegram,2,True,2017.0,0.37,"Musik, Politik, Wirtschaft"
642,52,weiblich,Berlin,progressiv,Die Linke,gelegentlich,Steuern,FAZ,4,False,2021.0,0.35,"Sport, Technologie, Politik"
643,20,männlich,Hamburg,liberal,Die Linke,immer,Gesundheit,Telegram,4,True,,0.89,"Technologie, Bildung, Musik"
644,27,divers,NRW,konservativ,CDU,immer,Gesundheit,Tagesschau,5,False,2024.0,0.37,"Musik, Wirtschaft, Bildung"
645,50,männlich,Bayern,progressiv,AfD,immer,Steuern,Facebook-Gruppen,5,True,2017.0,0.73,"Technologie, Musik, Klima"
646,22,divers,NRW,konservativ,CDU,nie,Migration,Spiegel,9,False,2024.0,0.59,"Politik, Essen, Bildung"
