nutzer_id,alter,geschlecht,region,politische_haltung,gewaehlte_partei,wahlfrequenz,wichtigstes_wahlthema,vertrauensmedien,politisches_engagement,parteimitglied,uebereinstimmung_regierung,interessen,gewaehlte_partei_neu
522,38,männlich,Bayern,progressiv,CSU,gelegentlich,Klima,Spiegel,3,False,0.68,"Musik, Bildung, Klima",SPD
523,68,weiblich,Sachsen,liberal,Grüne,gelegentlich,Migration,Spiegel,1,True,0.67,"Sport, Musik, Essen",Grüne
524,40,weiblich,Berlin,progressiv,Grüne,immer,Sicherheit,YouTube,8,True,0.77,"Technologie, Sport, Klima",Grüne
525,58,weiblich,Hessen,progressiv,CDU,immer,Migration,Facebook-Gruppen,5,False,0.95,"Technologie, Sport, Bildung",SPD
526,61,weiblich,Berlin,zentristisch,Die Linke,gelegentlich,Steuern,FAZ,7,False,0.35,"Technologie, Klima, Sport",FDP
527,31,weiblich,Sachsen,konservativ,,nie,Gesundheit,Spiegel,7,False,0.67,"Klima, Musik, Wirtschaft",CDU
528,69,männlich,Berlin,zentristisch,,nie,Steuern,Telegram,8,False,0.59,"Musik, Reisen, Sport",FDP
529,41,männlich,Berlin,zentristisch,Grüne,gelegentlich,Gesundheit,YouTube,3,True,0.95,"Reisen, Sport, Klima",SPD
530,65,weiblich,Hessen,zentristisch,AfD,gelegentlich,Steuern,TikTok,6,False,0.44,"Musik, Essen, Bildung",FDP
531,52,männlich,NRW,zentristisch,CSU,immer,Migration,FAZ,7,False,0.24,"Technologie, Politik, Reisen",CDU
532,49,weiblich,Berlin,konservativ,CSU,immer,Sicherheit,Spiegel,9,True,0.97,"Musik, Reisen, Politik",CDU
533,59,weiblich,Bayern,progressiv,CDU,immer,Bildung,TikTok,6,False,0.11,"Klima, Wirtschaft, Sport",Linke
534,46,männlich,Hamburg,konservativ,CSU,immer,Migration,Spiegel,1,True,0.25,"Reisen, Essen, Musik",FDP
535,56,männlich,NRW,liberal,SPD,gelegentlich,Sicherheit,Tagesschau,6,False,0.44,"Bildung, Essen, Politik",Grüne
536,70,männlich,NRW,konservativ,,nie,Klima,Tagesschau,10,True,0.68,"Wirtschaft, Reisen, Sport",FDP
537,37,männlich,Hamburg,liberal,CDU,immer,Gesundheit,Spiegel,4,True,0.8,"Wirtschaft, Reisen, Sport",Grüne
538,33,weiblich,Hamburg,konservativ,,nie,Migration,YouTube,2,False,0.28,"Klima, Technologie, Essen",FDP
539,22,männlich,Sachsen,konservativ,,nie,Bildung,Facebook-Gruppen,10,False,0.51,"Klima, Sport, Reisen",CDU
540,25,männlich,NRW,progressiv,CSU,immer,Steuern,Tagesschau,2,True,0.13,"Sport, Technologie, Essen",SPD
541,47,weiblich,Hamburg,liberal,CDU,gelegentlich,Migration,Tagesschau,3,False,0.01,"Musik, Essen, Klima",Grüne
542,28,männlich,Bayern,progressiv,,nie,Klima,FAZ,2,False,0.22,"Klima, Musik, Reisen",Linke
543,38,männlich,Berlin,liberal,Grüne,immer,Steuern,Telegram,8,True,0.47,"Klima, Wirtschaft, Bildung",Grüne
544,36,weiblich,Berlin,liberal,CDU,immer,Steuern,Facebook-Gruppen,3,False,0.02,"Reisen, Politik, Essen",SPD
545,28,männlich,NRW,liberal,FDP,immer,Klima,TikTok,9,True,0.14,"Sport, Bildung, Reisen",FDP
546,31,männlich,Hamburg,konservativ,,nie,Klima,Spiegel,6,False,0.99,"Reisen, Sport, Bildung",AfD
547,62,männlich,Sachsen,zentristisch,SPD,immer,Bildung,Spiegel,0,False,0.8,"Wirtschaft, Musik, Politik",FDP
548,68,männlich,Hessen,konservativ,CDU,immer,Steuern,Facebook-Gruppen,7,True,0.14,"Wirtschaft, Technologie, Musik",FDP
549,42,männlich,Berlin,zentristisch,Grüne,gelegentlich,Klima,Tagesschau,7,False,0.78,"Musik, Wirtschaft, Technologie",CDU
550,18,weiblich,NRW,zentristisch,,nie,Klima,YouTube,1,False,0.41,"Klima, Technologie, Essen",SPD
551,31,weiblich,Berlin,zentristisch,Grüne,immer,Migration,Telegram,3,True,0.74,"Klima, Sport, Bildung",FDP
552,65,weiblich,Hessen,konservativ,Die Linke,immer,Bildung,Tagesschau,2,True,0.07,"Reisen, Essen, Musik",CDU
553,50,männlich,NRW,konservativ,SPD,immer,Migration,YouTube,9,False,0.73,"Musik, Essen, Reisen",CDU
554,72,weiblich,Hessen,konservativ,,nie,Gesundheit,Facebook-Gruppen,9,False,0.33,"Essen, Bildung, Klima",FDP
555,27,weiblich,Bayern,liberal,Die Linke,immer,Gesundheit,Spiegel,7,True,0.97,"Wirtschaft, Politik, Musik",FDP
556,19,männlich,Sachsen,progressiv,,nie,Bildung,TikTok,8,False,0.04,"Sport, Reisen, Technologie",SPD
557,58,männlich,Hamburg,zentristisch,,nie,Gesundheit,TikTok,7,False,0.81,"Reisen, Wirtschaft, Sport",FDP
558,63,männlich,Bayern,liberal,CDU,gelegentlich,Sicherheit,Tagesschau,0,False,0.02,"Bildung, Essen, Politik",SPD
559,59,männlich,NRW,progressiv,,nie,Klima,FAZ,4,False,0.71,"Musik, Technologie, Reisen",Linke
560,22,weiblich,Sachsen,progressiv,SPD,gelegentlich,Gesundheit,Tagesschau,0,True,0.89,"Klima, Reisen, Bildung",Grüne
561,61,weiblich,Hessen,liberal,FDP,immer,Bildung,Facebook-Gruppen,7,True,0.61,"Klima, Sport, Technologie",SPD
562,54,weiblich,Hamburg,liberal,,nie,Bildung,Spiegel,1,True,0.92,"Sport, Politik, Klima",FDP
563,46,männlich,Hamburg,liberal,,nie,Migration,Spiegel,6,True,0.94,"Technologie, Essen, Wirtschaft",FDP
564,66,weiblich,Berlin,zentristisch,CDU,gelegentlich,Migration,Facebook-Gruppen,2,False,0.33,"Politik, Klima, Technologie",CDU
565,45,männlich,Bayern,konservativ,SPD,immer,Klima,TikTok,8,True,0.88,"Musik, Bildung, Technologie",AfD
566,55,männlich,NRW,liberal,SPD,immer,Steuern,TikTok,9,False,0.16,"Bildung, Essen, Sport",Grüne
567,73,männlich,Hamburg,progressiv,SPD,immer,Gesundheit,TikTok,10,False,0.64,"Klima, Reisen, Essen",Linke
568,56,weiblich,Berlin,zentristisch,SPD,immer,Sicherheit,Spiegel,0,False,0.27,"Sport, Reisen, Essen",CDU
569,32,weiblich,Bayern,zentristisch,,nie,Klima,Telegram,0,False,0.33,"Klima, Essen, Wirtschaft",FDP
570,27,männlich,Sachsen,konservativ,,nie,Bildung,YouTube,8,True,0.5,"Reisen, Bildung, Essen",CDU
571,20,männlich,Hamburg,zentristisch,SPD,gelegentlich,Sicherheit,FAZ,0,True,0.06,"Sport, Essen, Klima",SPD
572,30,weiblich,NRW,progressiv,,nie,Steuern,Spiegel,3,False,0.13,"Bildung, Essen, Klima",Linke
573,46,weiblich,Hessen,progressiv,FDP,immer,Bildung,FAZ,9,True,0.06,"Reisen, Bildung, Musik",Linke
574,30,männlich,Sachsen,zentristisch,AfD,gelegentlich,Sicherheit,Tagesschau,8,False,0.14,"Bildung, Technologie, Wirtschaft",CDU
575,66,weiblich,Berlin,zentristisch,SPD,gelegentlich,Sicherheit,Facebook-Gruppen,8,True,0.66,"Politik, Klima, Technologie",SPD
576,37,männlich,Hessen,zentristisch,,nie,Steuern,TikTok,1,False,0.38,"Klima, Wirtschaft, Essen",FDP
577,52,männlich,NRW,progressiv,SPD,gelegentlich,Klima,FAZ,4,False,0.21,"Klima, Sport, Politik",Grüne
578,36,weiblich,Sachsen,progressiv,CDU,immer,Gesundheit,YouTube,3,False,0.54,"Klima, Musik, Wirtschaft",SPD
579,53,weiblich,Sachsen,zentristisch,,nie,Steuern,Facebook-Gruppen,1,False,0.17,"Klima, Bildung, Essen",FDP
580,28,männlich,Bayern,zentristisch,SPD,immer,Gesundheit,Facebook-Gruppen,2,False,0.93,"Sport, Technologie, Klima",SPD
581,75,männlich,NRW,zentristisch,,nie,Klima,Telegram,3,False,0.15,"Reisen, Wirtschaft, Politik",CDU
582,38,männlich,Berlin,liberal,SPD,immer,Steuern,Tagesschau,4,True,0.09,"Essen, Wirtschaft, Reisen",FDP
583,18,männlich,Hamburg,progressiv,,nie,Bildung,Facebook-Gruppen,6,True,0.73,"Bildung, Wirtschaft, Klima",Linke
584,61,weiblich,Sachsen,liberal,SPD,gelegentlich,Steuern,YouTube,10,True,0.81,"Reisen, Politik, Technologie",SPD
585,41,männlich,Sachsen,progressiv,FDP,immer,Klima,TikTok,7,True,0.52,"Politik, Wirtschaft, Technologie",Grüne
586,32,weiblich,Bayern,konservativ,,nie,Migration,YouTube,6,True,0.08,"Musik, Klima, Essen",CDU
587,25,weiblich,Bayern,liberal,,nie,Sicherheit,Tagesschau,9,False,0.51,"Essen, Politik, Sport",FDP
588,64,weiblich,Berlin,progressiv,Die Linke,immer,Klima,TikTok,5,True,0.49,"Sport, Politik, Bildung",SPD
589,48,weiblich,Bayern,liberal,Grüne,gelegentlich,Bildung,TikTok,10,True,0.01,"Reisen, Musik, Klima",SPD
590,30,männlich,Bayern,zentristisch,,nie,Steuern,FAZ,4,True,0.18,"Sport, Politik, Reisen",CDU
591,55,männlich,NRW,konservativ,Grüne,gelegentlich,Steuern,TikTok,3,False,0.83,"Essen, Politik, Wirtschaft",FDP
592,31,weiblich,NRW,liberal,,nie,Bildung,Telegram,10,True,0.78,"Politik, Reisen, Technologie",SPD
593,27,weiblich,Hamburg,zentristisch,,nie,Sicherheit,Facebook-Gruppen,8,True,0.32,"Sport, Klima, Essen",SPD
594,35,weiblich,Sachsen,liberal,Grüne,gelegentlich,Klima,Tagesschau,8,True,0.04,"Essen, Bildung, Reisen",FDP
595,31,weiblich,Hessen,zentristisch,CSU,immer,Gesundheit,FAZ,9,True,0.75,"Reisen, Sport, Klima",FDP
596,27,männlich,Hamburg,liberal,CDU,immer,Bildung,Facebook-Gruppen,4,False,0.52,"Politik, Reisen, Essen",Grüne
597,40,männlich,Hamburg,liberal,,nie,Migration,FAZ,8,True,0.01,"Politik, Bildung, Essen",Grüne
598,68,männlich,NRW,zentristisch,CDU,gelegentlich,Steuern,Facebook-Gruppen,8,False,0.99,"Sport, Wirtschaft, Essen",FDP
599,45,männlich,Hamburg,liberal,,nie,Steuern,Spiegel,9,True,0.81,"Klima, Musik, Politik",SPD
600,48,weiblich,Hessen,zentristisch,,nie,Sicherheit,Tagesschau,2,True,0.57,"Klima, Technologie, Essen",CDU
601,21,männlich,Berlin,konservativ,,nie,Gesundheit,Telegram,1,False,0.8,"Bildung, Essen, Musik",FDP
602,40,männlich,NRW,konservativ,,nie,Steuern,Telegram,0,False,0.96,"Bildung, Politik, Sport",FDP
603,58,weiblich,Hamburg,liberal,,nie,Bildung,FAZ,3,False,0.42,"Sport, Wirtschaft, Klima",FDP
604,72,männlich,NRW,liberal,,nie,Steuern,TikTok,1,True,0.81,"Essen, Politik, Wirtschaft",Grüne
605,22,weiblich,Hamburg,progressiv,,nie,Klima,TikTok,1,False,0.06,"Klima, Sport, Politik",Grüne
606,20,weiblich,Hamburg,liberal,,nie,Gesundheit,TikTok,4,False,0.45,"Musik, Essen, Reisen",SPD
607,33,männlich,Hamburg,progressiv,SPD,immer,Steuern,Facebook-Gruppen,6,True,0.62,"Bildung, Sport, Musik",Grüne
608,41,weiblich,Sachsen,konservativ,AfD,gelegentlich,Klima,Telegram,3,True,0.73,"Reisen, Musik, Bildung",AfD
609,34,männlich,Hamburg,progressiv,SPD,gelegentlich,Gesundheit,Telegram,5,True,0.69,"Sport, Technologie, Klima",SPD
610,74,weiblich,Sachsen,konservativ,,nie,Klima,YouTube,1,True,0.27,"Bildung, Wirtschaft, Technologie",CDU
611,24,weiblich,Hamburg,liberal,SPD,gelegentlich,Bildung,FAZ,0,True,0.74,"Reisen, Klima, Wirtschaft",FDP
612,27,weiblich,Berlin,liberal,SPD,immer,Sicherheit,FAZ,7,False,0.23,"Politik, Klima, Reisen",FDP
613,42,männlich,Berlin,konservativ,,nie,Sicherheit,Spiegel,1,False,0.61,"Musik, Reisen, Politik",FDP
614,68,männlich,Bayern,liberal,Grüne,gelegentlich,Sicherheit,Facebook-Gruppen,10,True,0.46,"Technologie, Musik, Reisen",Grüne
615,52,weiblich,Bayern,zentristisch,CDU,gelegentlich,Steuern,YouTube,4,True,0.55,"Musik, Sport, Essen",FDP
616,50,männlich,NRW,progressiv,,nie,Steuern,Telegram,10,False,0.74,"Bildung, Reisen, Politik",Grüne
617,60,weiblich,Hessen,liberal,SPD,gelegentlich,Bildung,FAZ,2,False,0.94,"Bildung, Klima, Essen",SPD
618,41,weiblich,Hessen,liberal,,nie,Migration,YouTube,7,True,0.53,"Reisen, Bildung, Klima",FDP
619,71,männlich,Berlin,progressiv,SPD,immer,Gesundheit,FAZ,10,False,0.48,"Musik, Sport, Reisen",SPD
620,19,männlich,Berlin,progressiv,,nie,Klima,YouTube,9,False,0.8,"Klima, Politik, Wirtschaft",Grüne
621,28,weiblich,NRW,konservativ,,nie,Gesundheit,Telegram,10,False,0.81,"Wirtschaft, Reisen, Bildung",AfD
622,26,weiblich,Hessen,progressiv,,nie,Steuern,Facebook-Gruppen,1,False,0.32,"Reisen, Sport, Bildung",Grüne
623,60,weiblich,NRW,zentristisch,AfD,immer,Sicherheit,Spiegel,1,False,0.82,"Technologie, Klima, Sport",SPD
624,75,männlich,Hamburg,konservativ,Die Linke,gelegentlich,Gesundheit,TikTok,9,True,0.99,"Musik, Technologie, Bildung",CDU
625,38,weiblich,Bayern,zentristisch,Die Linke,gelegentlich,Gesundheit,TikTok,5,False,0.16,"Bildung, Politik, Reisen",SPD
626,72,weiblich,Hamburg,liberal,Die Linke,immer,Sicherheit,TikTok,2,True,0.61,"Musik, Klima, Wirtschaft",SPD
627,42,weiblich,Hamburg,zentristisch,CDU,immer,Bildung,Telegram,9,True,0.27,"Bildung, Musik, Reisen",CDU
628,27,weiblich,Hamburg,liberal,,nie,Steuern,Telegram,10,True,0.76,"Musik, Essen, Wirtschaft",Grüne
629,52,weiblich,NRW,progressiv,FDP,immer,Sicherheit,Telegram,3,False,0.25,"Bildung, Technologie, Musik",Grüne
630,63,männlich,NRW,progressiv,AfD,immer,Klima,Telegram,5,True,0.84,"Sport, Wirtschaft, Politik",Linke
631,48,männlich,Hessen,progressiv,SPD,immer,Migration,YouTube,7,False,0.28,"Politik, Essen, Sport",Linke
632,34,männlich,Berlin,liberal,FDP,immer,Migration,TikTok,2,False,0.3,"Sport, Reisen, Bildung",FDP
633,30,männlich,Sachsen,liberal,CSU,immer,Steuern,TikTok,8,True,0.8,"Reisen, Bildung, Musik",FDP
634,63,weiblich,NRW,liberal,FDP,immer,Steuern,FAZ,9,True,0.52,"Klima, Politik, Reisen",FDP
635,62,männlich,Hessen,liberal,CSU,immer,Bildung,TikTok,7,True,0.36,"Sport, Essen, Wirtschaft",SPD
636,69,männlich,Bayern,progressiv,SPD,gelegentlich,Migration,Tagesschau,7,True,0.42,"Reisen, Technologie, Politik",Grüne
637,32,weiblich,Hamburg,liberal,,nie,Gesundheit,Tagesschau,2,True,0.74,"Klima, Musik, Wirtschaft",Grüne
638,28,männlich,Berlin,konservativ,Grüne,gelegentlich,Steuern,FAZ,8,True,0.9,"Politik, Klima, Musik",AfD
639,67,weiblich,Berlin,progressiv,AfD,immer,Gesundheit,Spiegel,3,False,0.28,"Essen, Wirtschaft, Musik",Grüne
640,26,weiblich,Sachsen,zentristisch,,nie,Klima,FAZ,5,True,0.69,"Wirtschaft, Musik, Reisen",SPD
641,41,weiblich,NRW,progressiv,,nie,Migration,Telegram,2,True,0.37,"Musik, Politik, Wirtschaft",Linke
642,52,weiblich,Berlin,progressiv,CDU,gelegentlich,Steuern,FAZ,4,False,0.35,"Sport, Technologie, Politik",SPD
643,20,männlich,Hamburg,liberal,,nie,Gesundheit,Telegram,4,True,0.89,"Technologie, Bildung, Musik",SPD
644,27,weiblich,NRW,konservativ,,nie,Gesundheit,Tagesschau,5,False,0.37,"Musik, Wirtschaft, Bildung",FDP
645,50,männlich,Bayern,progressiv,CDU,immer,Steuern,Facebook-Gruppen,5,True,0.73,"Technologie, Musik, Klima",Grüne
646,22,weiblich,NRW,konservativ,,nie,Migration,Spiegel,9,False,0.59,"Politik, Essen, Bildung",AfD
647,23,männlich,Hessen,progressiv,,nie,Migration,Spiegel,2,False,0.73,"Sport, Politik, Reisen",Grüne
648,33,männlich,Sachsen,konservativ,AfD,immer,Migration,FAZ,6,False,0.76,"Klima, Technologie, Essen",CDU
649,32,männlich,Hamburg,konservativ,Die Linke,immer,Klima,TikTok,4,False,0.49,"Essen, Bildung, Wirtschaft",FDP
650,48,männlich,Hessen,progressiv,Grüne,gelegentlich,Gesundheit,FAZ,6,True,0.18,"Musik, Wirtschaft, Sport",Linke
651,42,männlich,Sachsen,progressiv,Die Linke,immer,Gesundheit,TikTok,0,True,0.68,"Essen, Technologie, Musik",SPD
652,26,weiblich,Bayern,zentristisch,CDU,immer,Migration,YouTube,8,False,0.07,"Bildung, Essen, Technologie",FDP
653,58,weiblich,Bayern,zentristisch,,nie,Bildung,Facebook-Gruppen,9,True,0.72,"Technologie, Klima, Bildung",CDU
654,56,männlich,Hamburg,liberal,SPD,immer,Bildung,Spiegel,1,True,0.73,"Politik, Reisen, Essen",FDP
655,47,männlich,Sachsen,konservativ,,nie,Steuern,Spiegel,7,False,0.3,"Klima, Technologie, Bildung",AfD
656,74,männlich,Sachsen,progressiv,SPD,immer,Sicherheit,YouTube,8,True,0.42,"Klima, Musik, Technologie",SPD
657,22,männlich,Hessen,zentristisch,,nie,Migration,TikTok,0,False,0.83,"Politik, Essen, Klima",CDU
658,35,männlich,Berlin,konservativ,CDU,gelegentlich,Gesundheit,YouTube,5,True,0.72,"Wirtschaft, Essen, Sport",CDU
659,74,weiblich,NRW,progressiv,,nie,Gesundheit,Telegram,0,True,0.43,"Klima, Politik, Technologie",Linke
660,31,männlich,Bayern,progressiv,,nie,Gesundheit,YouTube,2,False,0.33,"Bildung, Politik, Wirtschaft",SPD
661,70,männlich,NRW,zentristisch,Grüne,gelegentlich,Klima,TikTok,4,True,0.72,"Bildung, Technologie, Sport",SPD
662,67,weiblich,Bayern,zentristisch,SPD,immer,Bildung,Facebook-Gruppen,0,False,0.1,"Musik, Reisen, Bildung",CDU
663,60,männlich,Bayern,konservativ,,nie,Bildung,TikTok,7,False,0.42,"Technologie, Politik, Reisen",CDU
664,62,männlich,Hessen,konservativ,,nie,Gesundheit,Facebook-Gruppen,0,False,0.94,"Essen, Musik, Politik",AfD
665,33,männlich,Hessen,zentristisch,,nie,Gesundheit,YouTube,2,True,0.87,"Musik, Technologie, Reisen",FDP
666,57,weiblich,NRW,progressiv,,nie,Gesundheit,Telegram,2,False,0.72,"Klima, Wirtschaft, Technologie",Grüne
667,65,weiblich,Bayern,liberal,FDP,gelegentlich,Gesundheit,TikTok,6,False,0.91,"Klima, Reisen, Bildung",SPD
668,58,weiblich,Berlin,progressiv,CDU,gelegentlich,Sicherheit,Telegram,5,False,0.92,"Bildung, Essen, Musik",SPD
669,31,weiblich,Bayern,zentristisch,CSU,immer,Klima,Facebook-Gruppen,5,False,0.56,"Klima, Sport, Musik",FDP
670,21,männlich,Sachsen,konservativ,,nie,Migration,Tagesschau,10,True,0.84,"Reisen, Sport, Essen",CDU
671,72,männlich,Sachsen,liberal,Die Linke,immer,Migration,Facebook-Gruppen,2,True,0.97,"Wirtschaft, Politik, Musik",Grüne
672,28,weiblich,Hessen,konservativ,,nie,Bildung,FAZ,0,False,0.04,"Sport, Wirtschaft, Technologie",CDU
673,45,weiblich,Sachsen,zentristisch,CDU,gelegentlich,Migration,FAZ,1,True,0.23,"Sport, Wirtschaft, Politik",FDP
674,29,weiblich,Hamburg,zentristisch,CDU,immer,Gesundheit,Spiegel,4,False,0.21,"Bildung, Politik, Technologie",CDU
675,53,weiblich,Sachsen,konservativ,SPD,immer,Gesundheit,Facebook-Gruppen,9,True,0.69,"Technologie, Wirtschaft, Politik",AfD
676,22,weiblich,Bayern,liberal,,nie,Gesundheit,TikTok,5,False,0.69,"Bildung, Musik, Essen",Grüne
677,19,weiblich,Sachsen,progressiv,,nie,Bildung,Spiegel,9,False,0.32,"Klima, Sport, Politik",Linke
678,35,weiblich,Berlin,zentristisch,FDP,gelegentlich,Migration,Spiegel,7,False,0.03,"Musik, Essen, Klima",FDP
679,45,männlich,NRW,zentristisch,,nie,Sicherheit,Spiegel,6,True,0.74,"Sport, Wirtschaft, Politik",FDP
680,60,männlich,Sachsen,zentristisch,FDP,immer,Gesundheit,YouTube,0,True,0.58,"Technologie, Politik, Klima",FDP
681,29,männlich,Sachsen,konservativ,,nie,Sicherheit,YouTube,7,False,0.78,"Technologie, Klima, Bildung",FDP
682,38,weiblich,NRW,liberal,,nie,Steuern,Facebook-Gruppen,2,True,0.84,"Bildung, Musik, Klima",FDP
683,57,weiblich,Hamburg,konservativ,SPD,immer,Gesundheit,YouTube,7,False,0.95,"Musik, Klima, Bildung",AfD
684,38,männlich,Hamburg,progressiv,SPD,immer,Sicherheit,FAZ,9,True,0.98,"Wirtschaft, Sport, Musik",Grüne
685,40,weiblich,Hamburg,liberal,CDU,gelegentlich,Steuern,FAZ,5,False,0.92,"Technologie, Politik, Bildung",Grüne
686,73,weiblich,Hessen,progressiv,Grüne,immer,Sicherheit,FAZ,2,False,0.12,"Wirtschaft, Bildung, Technologie",Linke
687,31,männlich,Berlin,zentristisch,,nie,Migration,TikTok,0,True,0.38,"Politik, Essen, Musik",CDU
688,41,weiblich,Berlin,konservativ,CDU,gelegentlich,Sicherheit,FAZ,0,True,0.94,"Politik, Klima, Musik",AfD
689,23,weiblich,Berlin,liberal,,nie,Sicherheit,Facebook-Gruppen,1,False,0.74,"Technologie, Reisen, Musik",SPD
690,40,weiblich,NRW,liberal,AfD,immer,Steuern,FAZ,4,False,0.21,"Essen, Wirtschaft, Politik",SPD
691,26,männlich,Hessen,progressiv,CDU,immer,Bildung,Tagesschau,9,True,0.7,"Essen, Wirtschaft, Bildung",Linke
692,65,männlich,Hessen,progressiv,SPD,gelegentlich,Bildung,Spiegel,3,False,0.45,"Wirtschaft, Musik, Klima",Grüne
693,45,männlich,Hessen,zentristisch,SPD,gelegentlich,Steuern,TikTok,9,True,0.45,"Technologie, Wirtschaft, Musik",SPD
694,19,weiblich,Berlin,zentristisch,,nie,Gesundheit,Spiegel,6,True,0.26,"Reisen, Technologie, Sport",SPD
695,55,weiblich,Hamburg,liberal,CDU,immer,Migration,FAZ,6,False,0.3,"Klima, Technologie, Bildung",FDP
696,36,weiblich,Hamburg,konservativ,AfD,immer,Gesundheit,YouTube,4,False,0.46,"Reisen, Sport, Technologie",FDP
697,58,männlich,NRW,zentristisch,Grüne,immer,Steuern,Telegram,3,False,0.64,"Politik, Sport, Musik",SPD
698,30,männlich,Sachsen,konservativ,,nie,Bildung,TikTok,9,True,0.63,"Sport, Technologie, Klima",AfD
699,34,männlich,Hamburg,konservativ,,nie,Sicherheit,Telegram,9,False,0.84,"Musik, Reisen, Essen",FDP
700,74,männlich,Sachsen,progressiv,CDU,immer,Sicherheit,Telegram,4,False,0.88,"Technologie, Reisen, Bildung",SPD
701,50,männlich,Bayern,zentristisch,,nie,Steuern,FAZ,3,False,0.66,"Klima, Musik, Politik",FDP
702,68,weiblich,Berlin,konservativ,,nie,Bildung,TikTok,7,True,0.76,"Politik, Bildung, Reisen",CDU
703,35,weiblich,Sachsen,progressiv,,nie,Steuern,Telegram,1,True,0.64,"Musik, Klima, Technologie",Linke
704,68,weiblich,Berlin,zentristisch,,nie,Steuern,Telegram,1,True,0.74,"Essen, Reisen, Klima",SPD
705,32,männlich,Hessen,konservativ,Die Linke,gelegentlich,Migration,YouTube,1,True,0.02,"Politik, Sport, Technologie",AfD
706,40,weiblich,NRW,konservativ,CSU,immer,Bildung,YouTube,8,False,0.59,"Wirtschaft, Musik, Sport",AfD
707,56,weiblich,Hamburg,zentristisch,,nie,Migration,YouTube,2,False,0.01,"Bildung, Politik, Wirtschaft",SPD
708,54,weiblich,Bayern,progressiv,,nie,Sicherheit,Facebook-Gruppen,8,True,0.22,"Wirtschaft, Politik, Klima",Grüne
709,34,weiblich,Hessen,liberal,CDU,immer,Migration,YouTube,6,False,0.17,"Essen, Musik, Bildung",SPD
710,43,männlich,NRW,liberal,CDU,immer,Migration,Telegram,8,False,0.42,"Wirtschaft, Essen, Klima",SPD
711,71,weiblich,NRW,liberal,AfD,immer,Migration,YouTube,6,True,0.13,"Bildung, Sport, Wirtschaft",Grüne
712,55,männlich,NRW,liberal,AfD,gelegentlich,Gesundheit,YouTube,6,False,0.61,"Essen, Bildung, Wirtschaft",SPD
713,58,männlich,Hamburg,progressiv,FDP,immer,Bildung,Telegram,5,True,0.84,"Technologie, Sport, Wirtschaft",SPD
714,33,männlich,Hessen,zentristisch,,nie,Sicherheit,Tagesschau,2,False,0.91,"Technologie, Bildung, Musik",FDP
715,68,männlich,Berlin,zentristisch,,nie,Migration,Telegram,8,True,0.38,"Sport, Technologie, Musik",CDU
716,28,männlich,Hessen,liberal,Grüne,immer,Bildung,Tagesschau,0,True,0.43,"Wirtschaft, Sport, Politik",SPD
717,38,männlich,Bayern,konservativ,Grüne,gelegentlich,Bildung,Telegram,3,True,0.14,"Klima, Technologie, Sport",CDU
718,68,männlich,Sachsen,progressiv,,nie,Bildung,YouTube,10,False,0.84,"Musik, Reisen, Sport",Grüne
719,21,weiblich,Sachsen,progressiv,SPD,immer,Sicherheit,YouTube,6,False,0.8,"Politik, Essen, Bildung",Grüne
720,25,männlich,NRW,progressiv,SPD,gelegentlich,Steuern,Facebook-Gruppen,8,True,0.02,"Klima, Musik, Politik",SPD
721,75,weiblich,Berlin,liberal,Grüne,immer,Steuern,FAZ,10,True,0.59,"Technologie, Politik, Sport",SPD
722,35,weiblich,Hamburg,konservativ,,nie,Migration,TikTok,1,True,0.93,"Musik, Bildung, Sport",AfD
723,26,weiblich,Hessen,zentristisch,SPD,gelegentlich,Klima,Tagesschau,3,True,0.16,"Politik, Essen, Sport",SPD
724,58,männlich,NRW,konservativ,SPD,gelegentlich,Steuern,YouTube,10,False,0.56,"Bildung, Technologie, Klima",FDP
725,20,weiblich,Sachsen,liberal,SPD,gelegentlich,Steuern,Facebook-Gruppen,2,True,0.26,"Klima, Essen, Technologie",SPD
726,74,weiblich,Sachsen,konservativ,SPD,immer,Klima,Tagesschau,6,False,0.88,"Politik, Technologie, Sport",FDP
727,24,männlich,Berlin,konservativ,CDU,immer,Gesundheit,Spiegel,6,True,0.6,"Klima, Reisen, Essen",FDP
728,21,weiblich,Sachsen,zentristisch,,nie,Klima,TikTok,7,True,0.04,"Bildung, Essen, Wirtschaft",CDU
729,51,männlich,Hessen,liberal,,nie,Steuern,Tagesschau,8,False,0.48,"Politik, Musik, Sport",Grüne
730,42,männlich,NRW,progressiv,SPD,gelegentlich,Bildung,FAZ,7,False,0.59,"Politik, Musik, Bildung",Linke
731,52,weiblich,Hamburg,liberal,CDU,gelegentlich,Migration,Tagesschau,7,True,0.22,"Klima, Reisen, Politik",Grüne
732,58,männlich,Hessen,liberal,Grüne,immer,Migration,Telegram,1,False,0.95,"Bildung, Wirtschaft, Musik",SPD
733,72,männlich,Sachsen,zentristisch,SPD,immer,Migration,Tagesschau,0,False,0.52,"Musik, Essen, Klima",CDU
734,67,weiblich,NRW,zentristisch,Die Linke,immer,Klima,FAZ,3,False,0.25,"Technologie, Bildung, Sport",CDU
735,65,männlich,Sachsen,progressiv,FDP,gelegentlich,Bildung,Tagesschau,3,False,0.55,"Technologie, Essen, Bildung",Linke
736,67,weiblich,Hamburg,zentristisch,SPD,gelegentlich,Steuern,YouTube,4,True,0.71,"Klima, Essen, Musik",CDU
